Timestamp,Direction,RTT_ms,RTTvar_ms,Retransmissions,CWND,SSTHRESH,Throughput_Mbps
50.417,C_S,122.507,30.267,0,10,2147483647,N/A
50.526,S_C,132.564,35.160,0,2,2,N/A
50.698,C_S,120.779,26.157,0,10,2147483647,N/A
50.698,C_S,N/A,N/A,N/A,N/A,N/A,0.0032
50.698,S_C,N/A,N/A,N/A,N/A,N/A,0.0025
50.867,S_C,137.508,36.258,0,2,2,N/A
50.968,C_S,126.803,31.665,0,10,2147483647,N/A
51.069,S_C,132.904,36.276,0,2,2,N/A
51.172,C_S,123.552,30.251,0,10,2147483647,N/A
51.292,S_C,129.149,34.717,0,2,2,N/A
51.394,C_S,123.046,23.699,0,10,2147483647,N/A
51.500,S_C,125.721,32.894,0,2,2,N/A
51.648,C_S,120.877,22.113,0,10,2147483647,N/A
52.071,S_C,128.479,30.187,0,2,2,N/A
52.071,C_S,N/A,N/A,N/A,N/A,N/A,0.0019
52.071,S_C,N/A,N/A,N/A,N/A,N/A,0.0024
52.228,C_S,158.642,92.115,0,10,2147483647,N/A
52.331,S_C,132.019,29.720,0,2,2,N/A
52.433,C_S,151.660,83.051,0,10,2147483647,N/A
52.540,S_C,128.229,29.739,0,2,2,N/A
52.644,C_S,145.584,74.441,0,10,2147483647,N/A
52.751,S_C,125.189,28.384,0,2,2,N/A
53.201,C_S,140.696,65.606,0,10,2147483647,N/A
53.201,C_S,N/A,N/A,N/A,N/A,N/A,0.0023
53.201,S_C,N/A,N/A,N/A,N/A,N/A,0.0017
53.314,S_C,123.915,23.835,0,2,2,N/A
53.430,C_S,137.165,56.266,0,10,2147483647,N/A
53.533,S_C,122.925,19.857,0,2,2,N/A
53.634,C_S,132.674,51.182,0,10,2147483647,N/A
53.742,S_C,120.204,19.917,0,2,2,N/A
53.845,C_S,129.533,44.668,0,10,2147483647,N/A
53.956,S_C,118.045,19.256,0,2,2,N/A
54.057,C_S,127.162,38.245,0,10,2147483647,N/A
54.159,S_C,115.975,18.582,0,2,2,N/A
54.260,C_S,123.969,35.069,0,10,2147483647,N/A
54.260,C_S,N/A,N/A,N/A,N/A,N/A,0.0031
54.260,S_C,N/A,N/A,N/A,N/A,N/A,0.0031
54.425,S_C,114.049,17.789,0,2,2,N/A
54.565,C_S,129.166,36.696,0,10,2147483647,N/A
54.666,S_C,117.214,19.672,0,2,2,N/A
54.767,C_S,125.628,34.598,0,10,2147483647,N/A
54.870,S_C,115.129,18.922,0,2,2,N/A
54.976,C_S,122.737,31.731,0,10,2147483647,N/A
55.077,S_C,114.066,16.318,0,2,2,N/A
55.185,C_S,119.981,29.310,0,10,2147483647,N/A
55.287,S_C,113.296,13.778,0,2,2,N/A
55.287,C_S,N/A,N/A,N/A,N/A,N/A,0.0025
55.287,S_C,N/A,N/A,N/A,N/A,N/A,0.0032
55.390,C_S,117.535,26.874,0,10,2147483647,N/A
55.492,S_C,112.065,12.797,0,2,2,N/A
55.643,C_S,115.585,24.056,0,10,2147483647,N/A
55.824,S_C,116.860,19.188,0,2,2,N/A
55.926,C_S,123.784,34.441,0,10,2147483647,N/A
56.027,S_C,114.877,18.357,0,2,2,N/A
56.129,C_S,120.955,31.490,0,10,2147483647,N/A
56.235,S_C,113.270,16.980,0,2,2,N/A
56.335,C_S,119.001,27.525,0,10,2147483647,N/A
56.335,C_S,N/A,N/A,N/A,N/A,N/A,0.0031
56.335,S_C,N/A,N/A,N/A,N/A,N/A,0.0025
56.437,S_C,111.670,15.937,0,2,2,N/A
56.538,C_S,116.810,25.025,0,10,2147483647,N/A
56.639,S_C,110.333,14.625,0,2,2,N/A
